Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Napoli,Torino,1,1.44,4.69,7.25
Pescara,Bologna,2,2.39,3.21,3.14
Udinese,Crotone,1,1.62,3.78,6.00
Sassuolo,Inter,2,4.58,3.80,1.78
Juventus,Roma,1,1.71,3.66,5.50
Milan,Atalanta,X,2.28,3.10,3.49
Empoli,Cagliari,1,2.10,3.27,3.75
Genoa,Fiorentina,1,2.88,2.77,2.87
Roma,Milan,1,1.65,4.00,5.28
Fiorentina,Sassuolo,1,1.60,3.97,5.78
Inter,Genoa,1,1.64,3.89,5.49
Atalanta,Udinese,2,1.71,3.63,5.38
Bologna,Empoli,X,2.18,3.20,3.60
Palermo,Chievo,2,2.98,3.01,2.66
Torino,Juventus,2,4.50,3.44,1.87
Cagliari,Napoli,2,6.94,4.59,1.47
Sampdoria,Lazio,2,3.38,3.45,2.19
Crotone,Pescara,1,2.83,3.21,2.62
Udinese,Bologna,1,1.98,3.28,4.23
Chievo,Genoa,X,2.50,3.07,3.11
Fiorentina,Palermo,1,1.34,5.25,8.95
Lazio,Roma,2,2.77,3.39,2.55
Pescara,Cagliari,X,2.20,3.37,3.35
Sampdoria,Torino,1,2.91,3.40,2.44
Sassuolo,Empoli,1,1.80,3.56,4.69
Milan,Crotone,1,1.31,5.44,10.13
Juventus,Atalanta,1,1.44,4.31,7.94
Napoli,Inter,1,1.78,3.73,4.25
Inter,Fiorentina,1,2.10,3.41,3.58
Napoli,Sassuolo,X,1.31,5.44,10.25
Roma,Pescara,1,1.20,7.13,14.38
Bologna,Atalanta,2,3.03,3.15,2.53
Cagliari,Udinese,1,2.38,3.26,3.10
Crotone,Sampdoria,X,2.96,3.31,2.46
Genoa,Juventus,1,6.49,3.55,1.64
Palermo,Lazio,2,5.34,3.90,1.67
Empoli,Milan,2,3.46,3.25,2.21
Torino,Chievo,1,1.69,3.68,5.55
Milan,Inter,X,2.88,3.06,2.68
Atalanta,Roma,1,3.74,3.53,2.03
Bologna,Palermo,1,1.86,3.45,4.63
Crotone,Torino,2,4.76,3.71,1.76
Empoli,Fiorentina,2,3.74,3.44,2.05
Lazio,Genoa,1,1.71,3.84,4.94
Sampdoria,Sassuolo,1,2.21,3.38,3.36
Juventus,Pescara,1,1.14,8.06,19.25
Udinese,Napoli,2,4.93,3.91,1.70
Chievo,Cagliari,1,1.94,3.43,4.21
Roma,Bologna,1,1.24,6.25,11.67
Fiorentina,Sampdoria,X,1.55,4.08,6.20
Inter,Crotone,1,1.27,5.72,12.23
Chievo,Juventus,2,7.00,3.77,1.54
Genoa,Udinese,X,1.88,3.43,4.43
Palermo,Milan,2,5.17,3.68,1.71
Sassuolo,Atalanta,2,2.58,3.20,2.88
Pescara,Empoli,2,2.33,3.22,3.22
Napoli,Lazio,X,1.68,3.93,5.17
Torino,Cagliari,1,1.54,4.29,6.08
Cagliari,Palermo,1,1.74,3.68,4.95
Udinese,Torino,X,2.67,3.30,2.68
Sampdoria,Inter,1,3.66,3.53,2.05
Milan,Pescara,1,1.35,4.95,9.31
Crotone,Chievo,1,3.53,3.21,2.22
Empoli,Roma,X,5.81,4.04,1.59
Lazio,Sassuolo,1,1.49,4.35,7.01
Atalanta,Genoa,1,2.34,3.21,3.34
Juventus,Napoli,1,1.76,3.54,5.25
Bologna,Fiorentina,2,3.82,3.32,2.08
Palermo,Udinese,2,2.86,3.24,2.60
Chievo,Bologna,X,2.06,3.11,4.03
Fiorentina,Crotone,X,1.25,6.00,11.88
Inter,Torino,1,1.93,3.59,4.01
Juventus,Sampdoria,1,1.20,6.68,15.13
Lazio,Cagliari,1,1.45,4.53,7.05
Napoli,Empoli,1,1.25,5.81,12.38
Pescara,Atalanta,2,2.83,3.22,2.60
Sassuolo,Roma,2,4.11,3.60,1.88
Genoa,Milan,1,2.84,3.26,2.58
Roma,Palermo,1,1.22,6.94,13.63
Bologna,Sassuolo,X,2.83,3.05,2.75
Atalanta,Inter,1,3.26,3.30,2.29
Cagliari,Fiorentina,2,3.45,3.26,2.21
Crotone,Napoli,2,9.63,5.31,1.33
Empoli,Chievo,X,2.46,3.01,3.22
Torino,Lazio,X,2.14,3.46,3.48
Udinese,Pescara,1,1.86,3.53,4.43
Milan,Juventus,1,4.56,3.43,1.88
Sampdoria,Genoa,1,3.04,3.25,2.48
Palermo,Torino,2,4.36,3.38,1.90
Chievo,Milan,2,3.03,3.08,2.56
Genoa,Empoli,X,1.80,3.50,4.95
Inter,Cagliari,2,1.34,5.05,9.38
Lazio,Bologna,X,1.44,4.29,8.25
Sassuolo,Crotone,1,1.53,4.15,6.70
Fiorentina,Atalanta,X,1.69,3.71,5.44
Juventus,Udinese,1,1.20,6.88,16.00
Pescara,Sampdoria,X,2.43,3.29,3.01
Napoli,Roma,2,1.89,3.63,4.24
Roma,Inter,1,1.89,3.65,4.08
Milan,Sassuolo,1,1.62,3.88,5.88
Torino,Fiorentina,1,2.43,3.22,3.09
Atalanta,Napoli,1,5.23,3.74,1.71
Bologna,Genoa,2,2.51,3.19,3.00
Cagliari,Crotone,1,1.63,3.95,5.63
Sampdoria,Palermo,X,1.71,3.69,5.34
Empoli,Juventus,2,10.31,5.08,1.33
Udinese,Lazio,2,2.98,3.28,2.45
Pescara,Chievo,2,2.65,3.13,2.86
Cagliari,Sampdoria,1,2.10,3.32,3.53
Crotone,Atalanta,2,4.42,3.30,1.93
Fiorentina,Milan,X,2.24,3.26,3.40
Genoa,Pescara,X,1.67,3.69,5.50
Inter,Bologna,X,1.44,4.48,7.50
Lazio,Empoli,1,1.49,4.19,7.19
Sassuolo,Udinese,1,2.04,3.38,3.90
Torino,Roma,1,3.43,3.53,2.13
Napoli,Chievo,1,1.37,4.88,8.81
Palermo,Juventus,2,12.88,5.88,1.25
Roma,Crotone,1,1.14,7.63,19.63
Atalanta,Palermo,2,1.55,3.80,6.69
Chievo,Sassuolo,1,2.29,3.11,3.34
Empoli,Inter,2,3.85,3.35,2.02
Genoa,Napoli,X,4.80,3.69,1.73
Juventus,Cagliari,1,1.19,6.75,15.63
Pescara,Torino,X,3.14,3.20,2.35
Udinese,Fiorentina,X,3.18,3.15,2.36
Bologna,Sampdoria,1,2.23,3.14,3.49
Milan,Lazio,1,2.26,3.29,3.19
Fiorentina,Roma,1,2.95,3.40,2.38
Inter,Juventus,1,4.78,3.41,1.81
Cagliari,Atalanta,1,2.43,3.25,2.96
Crotone,Palermo,X,2.83,3.20,2.58
Sassuolo,Genoa,1,2.37,3.24,3.08
Torino,Empoli,X,1.68,3.61,5.56
Udinese,Chievo,2,2.14,3.18,3.72
Napoli,Bologna,1,1.25,5.69,12.25
Lazio,Pescara,1,1.48,4.34,7.13
Sampdoria,Milan,2,3.05,3.30,2.36
Empoli,Crotone,1,1.72,3.60,5.29
Pescara,Inter,2,4.36,3.55,1.84
Milan,Udinese,2,1.56,4.07,5.94
Roma,Sampdoria,1,1.37,4.94,8.19
Atalanta,Torino,1,2.51,3.20,2.90
Chievo,Lazio,X,3.39,3.13,2.26
Bologna,Cagliari,1,2.18,3.21,3.51
Palermo,Napoli,2,8.69,5.08,1.36
Juventus,Sassuolo,1,1.30,5.08,11.19
Cagliari,Roma,X,5.15,4.08,1.63
Crotone,Genoa,2,6.19,3.80,1.59
Fiorentina,Chievo,1,1.61,3.74,6.06
Sampdoria,Atalanta,1,2.47,3.24,2.95
Torino,Bologna,1,1.85,3.36,4.60
Udinese,Empoli,1,2.06,3.25,3.85
Inter,Palermo,X,1.30,5.49,10.00
Napoli,Milan,1,1.61,4.05,5.58
Lazio,Juventus,2,4.15,3.25,2.00
Atalanta,Lazio,2,2.81,3.16,2.63
Bologna,Crotone,1,1.73,3.40,5.56
Chievo,Inter,1,3.74,3.28,2.07
Empoli,Sampdoria,2,2.14,3.28,3.58
Genoa,Cagliari,1,1.98,3.40,4.01
Palermo,Sassuolo,2,3.23,3.15,2.36
Pescara,Napoli,X,7.75,4.46,1.42
Milan,Torino,1,1.87,3.49,4.35
Juventus,Fiorentina,1,1.48,4.00,7.56
Roma,Udinese,1,1.44,4.46,7.19
