Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Verona,Cagliari,1,2.39,3.16,3.12
Bologna,Atalanta,1,2.79,2.98,2.74
Torino,Udinese,X,1.65,3.66,5.71
Frosinone,Juventus,2,5.29,3.56,1.71
Monza,Fiorentina,2,2.81,3.20,2.57
Salernitana,Milan,X,6.88,4.49,1.45
Empoli,Lazio,2,4.34,3.41,1.88
Sassuolo,Genoa,2,2.49,3.13,2.98
Atalanta,Salernitana,1,1.26,5.95,11.19
Lazio,Inter,2,4.29,3.47,1.87
Bologna,Roma,1,2.44,2.89,3.34
Fiorentina,Verona,1,1.47,4.44,6.62
Udinese,Sassuolo,X,2.42,3.37,2.87
Milan,Monza,1,1.55,4.21,5.75
Torino,Empoli,1,1.58,3.88,6.13
Napoli,Cagliari,1,1.37,5.11,7.58
Lecce,Frosinone,1,2.17,3.22,3.52
Genoa,Juventus,X,4.61,2.93,2.01
Cagliari,Sassuolo,1,2.55,3.30,2.76
Empoli,Lecce,X,2.50,3.06,3.01
Roma,Fiorentina,X,1.93,3.37,4.13
Salernitana,Bologna,2,4.56,3.43,1.83
Monza,Genoa,1,2.15,3.11,3.67
Frosinone,Torino,X,3.70,3.24,2.08
Inter,Udinese,1,1.22,6.47,12.50
Atalanta,Milan,1,2.50,3.18,2.91
Verona,Lazio,X,4.33,3.39,1.88
Juventus,Napoli,1,2.23,3.21,3.38
Torino,Atalanta,1,2.93,3.15,2.52
Napoli,Inter,2,2.94,3.38,2.39
Sassuolo,Roma,2,3.52,3.53,2.06
Fiorentina,Salernitana,1,1.40,4.70,7.66
Udinese,Verona,X,1.81,3.55,4.54
Lecce,Bologna,X,3.02,3.00,2.55
Milan,Frosinone,1,1.43,4.78,7.03
Lazio,Cagliari,1,1.66,3.85,5.16
Genoa,Empoli,X,1.99,3.29,4.06
Monza,Juventus,2,4.29,3.37,1.90
Bologna,Torino,1,2.36,3.00,3.36
Verona,Lecce,X,2.79,2.92,2.82
Juventus,Inter,X,3.40,3.16,2.26
Roma,Udinese,1,1.63,3.72,5.77
Empoli,Sassuolo,2,2.64,3.46,2.58
Frosinone,Genoa,1,2.44,3.18,2.99
Cagliari,Monza,X,2.72,3.20,2.66
Milan,Fiorentina,1,2.10,3.33,3.59
Atalanta,Napoli,2,2.53,3.37,2.77
Salernitana,Lazio,1,4.59,3.51,1.81
Inter,Frosinone,1,1.17,7.91,14.00
Lazio,Roma,X,2.93,2.84,2.76
Fiorentina,Bologna,1,2.00,3.36,3.88
Udinese,Atalanta,X,3.48,3.38,2.13
Napoli,Empoli,2,1.27,6.17,9.93
Monza,Torino,X,2.76,3.03,2.76
Juventus,Cagliari,1,1.44,4.43,7.60
Lecce,Milan,X,4.98,3.59,1.75
Genoa,Verona,1,1.84,3.24,4.96
Sassuolo,Salernitana,X,1.74,3.92,4.45
Torino,Sassuolo,1,2.06,3.34,3.72
Frosinone,Empoli,1,2.15,3.43,3.36
Fiorentina,Juventus,2,2.86,3.09,2.63
Roma,Lecce,1,1.54,3.85,6.90
Cagliari,Genoa,1,2.69,2.97,2.90
Verona,Monza,2,3.07,3.11,2.46
Milan,Udinese,2,1.43,4.46,7.50
Atalanta,Inter,2,3.52,3.44,2.09
Salernitana,Napoli,2,7.76,5.13,1.37
Bologna,Lazio,1,2.72,3.03,2.82
Lazio,Fiorentina,1,2.28,3.28,3.20
Empoli,Atalanta,2,5.05,4.05,1.64
Napoli,Milan,X,2.24,3.31,3.27
Inter,Roma,1,1.53,4.05,6.46
Monza,Udinese,X,2.05,3.42,3.63
Cagliari,Frosinone,1,2.18,3.33,3.39
Juventus,Verona,1,1.35,4.89,8.98
Lecce,Torino,2,2.73,2.89,2.92
Sassuolo,Bologna,X,2.56,3.36,2.71
Genoa,Salernitana,1,1.73,3.59,5.07
Fiorentina,Empoli,2,1.41,4.79,7.38
Udinese,Lecce,X,2.11,3.18,3.75
Milan,Juventus,2,2.12,3.26,3.61
Atalanta,Genoa,1,1.52,4.20,6.42
Bologna,Frosinone,1,1.73,3.73,4.79
Salernitana,Cagliari,X,2.33,3.17,3.24
Roma,Monza,1,1.72,3.66,4.96
Sassuolo,Lazio,2,2.74,3.48,2.49
Torino,Inter,2,5.23,3.72,1.69
Verona,Napoli,2,5.55,4.01,1.60
Napoli,Fiorentina,2,1.57,4.32,5.53
Cagliari,Roma,2,5.00,3.50,1.77
Frosinone,Verona,1,2.21,3.32,3.37
Lazio,Atalanta,1,2.91,3.17,2.54
Monza,Salernitana,1,1.70,3.83,4.92
Genoa,Milan,2,4.26,3.32,1.94
Juventus,Torino,1,2.04,3.12,4.18
Inter,Bologna,X,1.31,5.51,9.47
Lecce,Sassuolo,X,2.63,3.35,2.66
Empoli,Udinese,X,2.84,3.26,2.55
Fiorentina,Cagliari,1,1.55,4.04,6.33
Sassuolo,Monza,2,2.09,3.75,3.24
Torino,Verona,X,1.74,3.40,5.38
Roma,Frosinone,1,1.39,4.83,8.11
Atalanta,Juventus,X,2.39,3.20,3.14
Udinese,Genoa,X,2.21,3.19,3.49
Bologna,Empoli,1,1.69,3.83,5.05
Salernitana,Inter,2,8.11,4.88,1.39
Milan,Lazio,1,1.72,3.72,5.06
Lecce,Napoli,2,4.84,3.65,1.75
Genoa,Roma,1,4.04,3.18,2.04
Frosinone,Fiorentina,X,3.78,3.53,1.97
Monza,Bologna,X,2.28,3.34,3.20
Inter,Sassuolo,2,1.25,6.62,10.01
Lazio,Torino,1,2.21,3.21,3.49
Napoli,Udinese,1,1.39,4.98,7.63
Cagliari,Milan,2,4.44,3.40,1.88
Empoli,Salernitana,1,2.64,3.14,2.80
Verona,Atalanta,2,4.23,3.58,1.86
Juventus,Lecce,1,1.49,4.21,6.99
Torino,Roma,X,3.19,2.94,2.46
Bologna,Napoli,X,3.46,3.51,2.07
Atalanta,Cagliari,1,1.40,4.68,7.39
Udinese,Fiorentina,2,3.26,3.28,2.22
Empoli,Inter,2,10.44,5.89,1.26
Lazio,Monza,X,1.77,3.80,4.34
Sassuolo,Juventus,1,4.25,3.98,1.75
Milan,Verona,1,1.38,4.73,8.17
Lecce,Genoa,1,2.53,3.09,2.93
Salernitana,Frosinone,X,2.42,3.19,2.99
Verona,Bologna,X,3.36,3.27,2.19
Salernitana,Torino,2,3.59,3.07,2.19
Roma,Empoli,1,1.38,4.62,8.46
Fiorentina,Atalanta,1,2.68,3.29,2.62
Frosinone,Sassuolo,1,2.96,3.46,2.32
Monza,Lecce,X,2.37,3.23,3.05
Cagliari,Udinese,X,2.83,3.17,2.57
Genoa,Napoli,X,5.45,3.80,1.63
Inter,Milan,1,2.16,3.35,3.37
Juventus,Lazio,1,1.91,3.43,4.12
Empoli,Juventus,2,5.47,3.91,1.62
Lecce,Salernitana,1,1.93,3.28,4.23
Inter,Fiorentina,1,1.70,3.82,4.76
Torino,Genoa,1,2.02,3.21,3.92
Atalanta,Monza,1,1.67,4.01,4.77
Napoli,Lazio,2,1.63,4.03,5.16
Bologna,Cagliari,1,1.76,3.65,4.56
Udinese,Frosinone,X,1.86,3.51,4.23
Roma,Milan,2,2.82,3.01,2.68
Sassuolo,Verona,1,1.93,3.59,3.80
Cagliari,Inter,2,7.26,4.62,1.41
Salernitana,Udinese,X,2.73,3.21,2.62
Lazio,Genoa,2,1.77,3.67,4.48
Napoli,Sassuolo,1,1.31,5.65,8.34
Fiorentina,Lecce,X,1.67,3.77,5.15
Juventus,Bologna,X,1.67,3.76,5.18
Milan,Torino,1,1.72,3.59,5.02
Verona,Roma,1,4.69,3.34,1.83
Frosinone,Atalanta,1,5.13,4.05,1.62
Monza,Empoli,1,1.90,3.57,3.92
Bologna,Milan,2,3.84,3.41,1.97
Torino,Cagliari,X,1.59,3.79,6.00
Lecce,Lazio,1,3.69,3.20,2.09
Udinese,Juventus,2,3.84,3.26,2.03
Roma,Salernitana,X,1.51,3.89,7.18
Sassuolo,Atalanta,2,3.35,3.55,2.10
Genoa,Fiorentina,2,3.25,3.22,2.29
Inter,Monza,1,1.39,4.96,7.36
Empoli,Verona,2,2.24,3.27,3.27
Frosinone,Napoli,2,6.26,4.36,1.50
