Home,Away,Outcome,Odd_1,Odd_X,Odd_2,anno
Bologna,Torino,2,2.93,3.11,2.58,2015
Roma,Bologna,X,1.29,5.34,10.88,2015
Palermo,Lazio,2,3.39,3.38,2.18,2015
Napoli,Verona,1,1.23,6.13,12.13,2015
Sampdoria,Udinese,1,2.08,3.25,3.75,2015
Torino,Atalanta,1,1.93,3.27,4.24,2015
Empoli,Fiorentina,1,3.38,3.29,2.21,2015
Milan,Juventus,2,3.85,3.16,2.1,2015
Chievo,Carpi,1,2.16,3.19,3.59,2015
Sassuolo,Genoa,2,1.91,3.39,4.17,2015
Frosinone,Inter,2,5.81,3.79,1.61,2015
Bologna,Verona,2,1.83,3.46,4.71,2015
Inter,Torino,2,1.73,3.68,4.9,2015
Atalanta,Milan,1,3.48,3.2,2.21,2015
Chievo,Palermo,1,2.18,3.26,3.53,2015
Fiorentina,Sampdoria,X,1.6,3.95,5.68,2015
Genoa,Frosinone,1,1.52,4.05,6.81,2015
Lazio,Roma,2,3.69,3.27,2.1,2015
Udinese,Napoli,1,6.69,4.22,1.5,2015
Juventus,Empoli,1,1.29,5.13,11.75,2015
Carpi,Sassuolo,2,3.29,3.09,2.33,2015
Milan,Lazio,X,2.01,3.29,3.99,2015
Napoli,Genoa,1,1.27,5.69,11.75,2015
Frosinone,Fiorentina,X,5.44,3.95,1.62,2015
Sampdoria,Chievo,2,1.82,3.46,4.63,2015
Sassuolo,Udinese,X,1.99,3.36,3.96,2015
Verona,Carpi,2,2.1,3.36,3.6,2015
Atalanta,Bologna,1,2.2,3.04,3.71,2015
Roma,Inter,X,1.84,3.5,4.53,2015
Empoli,Palermo,X,1.7,3.66,5.13,2015
Lazio,Atalanta,1,1.81,3.48,4.69,2015
Palermo,Napoli,2,9.75,5.63,1.29,2015
Carpi,Frosinone,1,1.8,3.46,4.71,2015
Genoa,Torino,1,2.53,3.05,2.98,2015
Udinese,Roma,2,4.48,3.58,1.82,2015
Chievo,Milan,X,4.3,3.33,1.94,2015
Inter,Bologna,1,1.59,3.78,6.31,2015
Empoli,Sampdoria,X,2.21,3.2,3.49,2015
Juventus,Sassuolo,1,1.34,4.73,10.75,2015
Inter,Palermo,1,1.34,5.09,9.5,2015
Atalanta,Juventus,2,8.94,4.0,1.44,2015
Bologna,Carpi,X,2.04,3.14,4.07,2015
Frosinone,Udinese,1,3.47,3.4,2.13,2015
Genoa,Empoli,1,2.03,3.26,3.95,2015
Sassuolo,Milan,1,2.89,3.22,2.54,2015
Torino,Lazio,X,2.51,3.08,3.04,2015
Napoli,Chievo,1,1.19,6.73,16.75,2015
Verona,Sampdoria,2,2.5,3.33,2.84,2015
Fiorentina,Napoli,X,3.31,3.3,2.24,2015
Lazio,Sassuolo,2,1.74,3.53,5.13,2015
Juventus,Inter,1,1.57,3.78,6.75,2015
Carpi,Atalanta,X,2.5,3.07,3.06,2015
Chievo,Genoa,1,2.86,3.01,2.7,2015
Sampdoria,Frosinone,1,1.54,4.0,6.56,2015
Udinese,Verona,1,1.9,3.56,4.13,2015
Palermo,Bologna,X,2.83,3.15,2.63,2015
Milan,Torino,1,1.85,3.43,4.54,2015
Empoli,Roma,2,4.06,3.38,1.95,2015
Roma,Palermo,1,1.28,5.75,10.63,2015
Atalanta,Fiorentina,2,3.53,3.19,2.2,2015
Genoa,Udinese,1,2.01,3.23,4.11,2015
Sassuolo,Empoli,1,2.09,3.18,3.78,2015
Torino,Carpi,X,1.62,3.61,6.06,2015
Inter,Sampdoria,1,1.52,4.26,6.75,2015
Verona,Chievo,1,2.46,3.15,3.02,2015
Bologna,Juventus,X,7.0,3.55,1.61,2015
Fiorentina,Inter,1,2.16,3.24,3.59,2015
Palermo,Torino,2,3.29,3.24,2.28,2015
Sampdoria,Atalanta,X,2.2,3.25,3.48,2015
Udinese,Bologna,2,2.04,3.19,4.05,2015
Milan,Genoa,1,1.61,3.78,6.1,2015
Juventus,Napoli,1,2.19,3.05,3.81,2015
Chievo,Sassuolo,X,3.2,3.0,2.48,2015
Empoli,Frosinone,2,1.5,4.15,6.94,2015
Carpi,Roma,2,4.38,3.53,1.85,2015
Lazio,Verona,1,1.44,4.39,7.75,2015
Roma,Sampdoria,1,1.53,4.18,6.69,2015
Atalanta,Empoli,X,2.63,3.11,2.87,2015
Milan,Udinese,X,1.5,4.07,7.08,2015
Frosinone,Juventus,2,14.0,5.78,1.24,2015
Napoli,Carpi,1,1.16,7.5,18.63,2015
Sassuolo,Palermo,X,1.72,3.61,5.23,2015
Verona,Inter,X,4.54,3.68,1.8,2015
Genoa,Lazio,X,2.59,3.15,2.88,2015
Bologna,Fiorentina,X,4.3,3.41,1.91,2015
Empoli,Udinese,X,2.03,3.38,3.78,2015
Fiorentina,Carpi,1,1.41,4.58,8.0,2015
Inter,Chievo,1,1.43,4.38,8.5,2015
Juventus,Genoa,1,1.31,5.38,10.63,2015
Lazio,Napoli,2,3.69,3.4,2.06,2015
Palermo,Milan,2,4.0,3.5,1.95,2015
Sampdoria,Torino,X,2.94,3.16,2.54,2015
Verona,Atalanta,1,2.35,3.25,3.13,2015
Frosinone,Bologna,1,2.91,3.24,2.51,2015
Sassuolo,Roma,2,3.0,3.18,2.45,2015
Milan,Inter,1,2.64,3.01,2.98,2015
Bologna,Sampdoria,1,2.13,3.27,3.59,2015
Genoa,Fiorentina,X,3.25,3.26,2.29,2015
Napoli,Empoli,1,1.28,5.56,11.0,2015
Torino,Verona,X,1.67,3.76,5.38,2015
Udinese,Lazio,X,3.4,3.3,2.2,2015
Chievo,Juventus,2,8.43,3.92,1.48,2015
Roma,Frosinone,1,1.23,6.39,12.63,2015
Atalanta,Sassuolo,X,2.39,3.13,3.21,2015
Carpi,Palermo,X,2.25,3.15,3.43,2015
Juventus,Roma,1,1.58,3.8,6.88,2015
Inter,Carpi,X,1.47,4.33,7.43,2015
Lazio,Chievo,1,1.67,3.7,5.5,2015
Palermo,Udinese,1,2.53,3.18,2.93,2015
Sampdoria,Napoli,2,6.69,4.23,1.5,2015
Sassuolo,Bologna,2,2.07,3.24,3.83,2015
Verona,Genoa,X,3.38,3.34,2.18,2015
Fiorentina,Torino,1,1.81,3.43,4.67,2015
Empoli,Milan,X,3.39,3.28,2.23,2015
Frosinone,Atalanta,X,3.15,3.35,2.29,2015
Sassuolo,Torino,X,2.42,3.07,3.18,2015
Milan,Fiorentina,1,2.43,3.2,3.11,2015
Roma,Verona,X,1.32,5.14,10.13,2015
Bologna,Lazio,X,3.84,3.28,2.05,2015
Carpi,Sampdoria,1,2.48,3.19,3.01,2015
Chievo,Empoli,X,2.42,3.05,3.21,2015
Udinese,Juventus,2,5.4,3.5,1.75,2015
Genoa,Palermo,1,1.75,3.58,5.06,2015
Napoli,Sassuolo,1,1.3,5.55,10.0,2015
Torino,Frosinone,1,1.3,5.48,10.0,2015
Atalanta,Inter,X,3.93,3.35,2.03,2015
Sampdoria,Juventus,2,6.44,3.94,1.57,2015
Atalanta,Genoa,2,2.44,3.21,3.05,2015
Bologna,Chievo,2,2.5,3.03,3.1,2015
Frosinone,Napoli,2,13.0,6.68,1.22,2015
Torino,Empoli,2,1.92,3.33,4.38,2015
Verona,Palermo,2,2.19,3.3,3.43,2015
Inter,Sassuolo,2,1.63,3.86,5.63,2015
Roma,Milan,X,2.13,3.34,3.58,2015
Fiorentina,Lazio,2,1.95,3.4,4.15,2015
Carpi,Udinese,1,3.0,3.2,2.45,2015
Napoli,Torino,1,1.39,4.63,8.38,2015
Empoli,Inter,2,3.43,3.14,2.26,2015
Milan,Bologna,2,1.52,4.02,7.06,2015
Chievo,Roma,X,3.1,3.15,2.43,2015
Juventus,Verona,1,1.18,7.06,17.38,2015
Lazio,Carpi,X,1.44,4.33,7.86,2015
Palermo,Fiorentina,2,4.85,3.56,1.76,2015
Sassuolo,Frosinone,X,1.43,4.41,8.09,2015
Udinese,Atalanta,1,2.13,3.16,3.84,2015
Genoa,Sampdoria,2,2.34,3.03,3.34,2015
Inter,Lazio,2,1.98,3.38,4.03,2015
Frosinone,Milan,2,5.88,3.85,1.62,2015
Sampdoria,Palermo,1,2.24,3.25,3.34,2015
Torino,Udinese,2,1.75,3.5,5.15,2015
Roma,Genoa,1,1.51,4.31,6.69,2015
Atalanta,Napoli,2,6.44,4.13,1.54,2015
Fiorentina,Chievo,1,1.48,4.18,7.39,2015
Verona,Sassuolo,X,2.65,3.16,2.78,2015
Carpi,Juventus,2,10.63,4.57,1.36,2015
Bologna,Empoli,2,2.65,3.03,2.89,2015
Lazio,Sampdoria,X,1.44,4.44,7.44,2015
Juventus,Fiorentina,1,1.76,3.35,5.54,2015
Napoli,Roma,X,1.68,3.79,5.23,2015
Milan,Verona,X,1.4,4.7,8.44,2015
Chievo,Atalanta,1,2.43,3.05,3.16,2015
Empoli,Carpi,1,1.91,3.4,4.26,2015
Udinese,Inter,2,3.96,3.29,2.01,2015
Palermo,Frosinone,1,1.79,3.56,4.75,2015
Genoa,Bologna,2,1.93,3.31,4.33,2015
Carpi,Milan,X,5.31,3.47,1.75,2015
Sampdoria,Sassuolo,2,2.36,3.2,3.15,2015
Atalanta,Palermo,1,1.7,3.61,5.38,2015
Fiorentina,Udinese,1,1.5,4.2,6.94,2015
Verona,Empoli,2,2.94,3.18,2.51,2015
Bologna,Napoli,1,7.24,4.33,1.46,2015
Inter,Genoa,1,1.6,3.95,5.71,2015
Torino,Roma,X,2.71,3.16,2.71,2015
Lazio,Juventus,2,3.48,3.24,2.21,2015
Napoli,Inter,1,1.62,3.88,5.75,2015
Palermo,Juventus,2,7.5,3.98,1.51,2015
Empoli,Lazio,1,2.89,3.28,2.5,2015
Roma,Atalanta,2,1.47,4.31,7.38,2015
Chievo,Udinese,2,2.2,3.13,3.59,2015
Frosinone,Verona,1,2.61,3.19,2.81,2015
Genoa,Carpi,2,1.57,3.78,6.56,2015
Milan,Sampdoria,1,1.58,3.99,6.0,2015
Torino,Bologna,1,1.69,3.43,6.0,2015
Inter,Frosinone,1,1.21,6.44,14.88,2015
Atalanta,Torino,2,2.71,3.21,2.69,2015
Carpi,Chievo,2,3.24,3.05,2.39,2015
Fiorentina,Empoli,X,1.55,4.0,6.25,2015
Genoa,Sassuolo,1,2.08,3.4,3.64,2015
Lazio,Palermo,X,1.45,4.36,7.5,2015
Udinese,Sampdoria,1,2.15,3.31,3.5,2015
Verona,Napoli,2,8.48,4.68,1.4,2015
Juventus,Milan,1,1.58,3.7,7.28,2015
Bologna,Roma,X,4.89,3.53,1.78,2015
Sampdoria,Fiorentina,2,4.43,3.63,1.82,2015
Napoli,Udinese,1,1.23,6.21,13.45,2015
Roma,Lazio,1,2.01,3.44,3.84,2015
Empoli,Juventus,2,5.45,3.54,1.71,2015
Frosinone,Genoa,X,3.6,3.5,2.05,2015
Palermo,Chievo,1,2.41,3.15,3.15,2015
Sassuolo,Carpi,1,1.68,3.61,5.51,2015
Torino,Inter,2,2.85,3.11,2.66,2015
Milan,Atalanta,X,1.71,3.66,5.18,2015
Verona,Bologna,2,2.31,3.19,3.3,2015
Palermo,Empoli,2,2.39,3.14,3.18,2015
Chievo,Sampdoria,X,2.16,3.3,3.45,2015
Lazio,Milan,2,2.02,3.41,3.82,2015
Bologna,Atalanta,1,2.69,3.07,2.79,2015
Carpi,Verona,X,2.51,3.24,2.89,2015
Genoa,Napoli,X,4.96,3.81,1.72,2015
Udinese,Sassuolo,X,2.36,3.23,3.16,2015
Fiorentina,Frosinone,1,1.26,5.75,12.0,2015
Inter,Roma,1,2.46,3.41,2.91,2015
Juventus,Torino,1,1.55,3.75,7.06,2015
Sampdoria,Empoli,X,2.46,3.22,2.98,2015
Milan,Chievo,1,1.71,3.55,5.44,2015
Roma,Udinese,1,1.4,4.71,8.06,2015
Atalanta,Lazio,1,3.0,3.2,2.45,2015
Frosinone,Carpi,1,2.44,3.24,3.01,2015
Napoli,Palermo,1,1.26,5.81,11.38,2015
Sassuolo,Juventus,1,5.81,3.73,1.65,2015
Torino,Genoa,X,1.95,3.5,4.0,2015
Verona,Fiorentina,2,4.94,3.68,1.73,2015
Bologna,Inter,2,5.16,3.5,1.75,2015
Chievo,Napoli,2,5.06,3.66,1.73,2015
Fiorentina,Roma,2,2.54,3.23,2.89,2015
Lazio,Torino,1,1.9,3.43,4.25,2015
Milan,Sassuolo,1,1.83,3.57,4.49,2015
Juventus,Atalanta,1,1.42,4.47,8.25,2015
Udinese,Frosinone,1,1.49,4.22,7.06,2015
Sampdoria,Verona,1,2.0,3.29,4.05,2015
Palermo,Inter,X,3.61,3.21,2.16,2015
Carpi,Bologna,2,2.18,3.18,3.63,2015
Empoli,Genoa,1,2.67,3.15,2.78,2015
Inter,Juventus,X,3.05,3.26,2.44,2015
Atalanta,Carpi,1,1.78,3.5,4.89,2015
Frosinone,Sampdoria,1,2.64,3.32,2.69,2015
Genoa,Chievo,1,2.03,3.26,3.91,2015
Napoli,Fiorentina,1,1.72,3.79,5.01,2015
Verona,Udinese,X,2.32,3.28,3.16,2015
Bologna,Palermo,2,2.61,3.15,2.85,2015
Roma,Empoli,1,1.41,4.56,8.19,2015
Milan,Napoli,2,3.03,3.4,2.36,2015
Fiorentina,Atalanta,1,1.69,3.63,5.31,2015
Juventus,Bologna,1,1.26,5.56,13.38,2015
Lazio,Frosinone,1,1.33,5.13,9.88,2015
Palermo,Roma,2,4.32,3.61,1.85,2015
Sampdoria,Inter,X,4.0,3.45,2.0,2015
Udinese,Genoa,X,2.5,3.18,2.98,2015
Empoli,Sassuolo,1,2.56,3.26,2.82,2015
Chievo,Verona,X,2.19,3.25,3.49,2015
Carpi,Torino,1,3.43,3.18,2.25,2015
Atalanta,Sampdoria,1,1.95,3.46,4.03,2015
Frosinone,Empoli,1,3.31,3.29,2.24,2015
Inter,Fiorentina,2,2.1,3.33,3.73,2015
Bologna,Udinese,2,2.86,3.09,2.65,2015
Sassuolo,Chievo,X,2.28,3.13,3.44,2015
Torino,Palermo,1,1.67,3.7,5.56,2015
Verona,Lazio,2,3.9,3.45,1.99,2015
Genoa,Milan,1,2.66,3.21,2.73,2015
Napoli,Juventus,1,2.21,3.3,3.46,2015
Roma,Carpi,1,1.31,5.44,10.63,2015
Empoli,Atalanta,2,2.21,3.24,3.41,2015
Carpi,Napoli,X,6.4,4.1,1.54,2015
Chievo,Torino,1,2.83,3.11,2.65,2015
Fiorentina,Bologna,1,1.5,4.0,7.44,2015
Inter,Verona,1,1.33,5.38,9.25,2015
Juventus,Frosinone,X,1.17,7.06,18.63,2015
Lazio,Genoa,1,1.84,3.54,4.39,2015
Palermo,Sassuolo,2,2.17,3.23,3.56,2015
Sampdoria,Roma,1,4.56,3.74,1.78,2015
Udinese,Milan,2,3.14,3.24,2.32,2015
Napoli,Lazio,1,1.77,3.75,4.6,2015
Carpi,Fiorentina,2,4.41,3.3,1.9,2015
Roma,Sassuolo,X,1.45,4.47,7.67,2015
Atalanta,Verona,X,1.97,3.48,3.87,2015
Torino,Sampdoria,1,1.74,3.63,4.92,2015
Chievo,Inter,2,3.8,3.28,2.1,2015
Milan,Palermo,1,1.68,3.57,5.69,2015
Udinese,Empoli,2,2.28,3.29,3.25,2015
Sampdoria,Bologna,1,1.92,3.36,4.16,2015
Inter,Milan,1,2.18,3.23,3.55,2015
Lazio,Udinese,1,1.56,3.93,6.38,2015
Empoli,Napoli,X,4.18,3.55,1.89,2015
Palermo,Carpi,X,1.75,3.53,5.19,2015
Sassuolo,Atalanta,X,2.23,3.21,3.43,2015
Verona,Torino,X,2.88,3.31,2.49,2015
Juventus,Chievo,X,1.39,4.53,8.81,2015
Fiorentina,Genoa,1,1.69,3.66,5.31,2015
Frosinone,Roma,2,8.13,4.65,1.4,2015
Atalanta,Frosinone,1,1.73,3.62,5.1,2015
Carpi,Inter,2,6.08,3.78,1.59,2015
Chievo,Lazio,1,3.67,3.2,2.15,2015
Genoa,Verona,1,2.05,3.48,3.63,2015
Napoli,Sampdoria,X,1.37,5.08,8.15,2015
Torino,Fiorentina,1,2.5,3.17,2.98,2015
Udinese,Palermo,2,2.32,3.22,3.23,2015
Roma,Juventus,1,2.64,3.1,2.85,2015
Milan,Empoli,1,1.62,3.8,5.81,2015
Bologna,Sassuolo,2,2.69,3.16,2.76,2015
Empoli,Chievo,2,2.23,3.15,3.45,2015
Fiorentina,Milan,1,2.2,3.21,3.48,2015
Frosinone,Torino,2,3.69,3.25,2.11,2015
Palermo,Genoa,1,2.05,3.31,3.79,2015
Sampdoria,Carpi,1,2.01,3.24,4.13,2015
Sassuolo,Napoli,1,4.6,3.48,1.83,2015
Juventus,Udinese,2,1.31,5.0,11.13,2015
Lazio,Bologna,1,1.53,3.8,7.5,2015
Verona,Roma,X,5.17,3.7,1.71,2015
Atalanta,Fiorentina,2,1.57,4.38,5.23,2023
Empoli,Roma,1,2.17,3.54,3.13,2023
Frosinone,Udinese,2,2.51,3.02,3.0,2023
Lazio,Sassuolo,X,1.31,5.45,8.83,2023
Verona,Inter,X,6.75,4.97,1.41,2023
Atalanta,Torino,1,2.44,3.5,2.71,2023
Napoli,Lecce,X,1.35,5.23,7.73,2023
Milan,Salernitana,X,1.11,9.79,18.11,2023
Juventus,Monza,1,1.52,4.44,5.64,2023
Genoa,Bologna,1,2.85,3.18,2.54,2023
Cagliari,Fiorentina,2,4.74,3.82,1.7,2023
Bologna,Juventus,X,2.72,3.04,2.77,2023
Salernitana,Verona,2,5.1,3.88,1.66,2023
Roma,Genoa,1,1.45,4.43,6.92,2023
Inter,Lazio,X,1.54,4.36,5.55,2023
Monza,Frosinone,2,2.97,3.46,2.3,2023
Udinese,Empoli,X,1.93,3.19,4.33,2023
Sassuolo,Cagliari,2,2.48,3.3,2.86,2023
Torino,Milan,1,2.55,3.08,2.95,2023
Lecce,Atalanta,2,3.68,3.55,1.98,2023
Fiorentina,Napoli,X,2.1,3.42,3.45,2023
Fiorentina,Monza,1,1.49,4.38,6.22,2023
Lecce,Udinese,2,3.07,2.99,2.48,2023
Atalanta,Roma,1,1.87,3.71,3.96,2023
Juventus,Salernitana,X,1.14,8.46,16.45,2023
Genoa,Sassuolo,1,2.29,3.33,3.13,2023
Verona,Torino,2,3.08,2.86,2.59,2023
Lazio,Empoli,1,1.64,3.78,5.55,2023
Milan,Cagliari,1,1.57,4.26,5.45,2023
Napoli,Bologna,2,1.92,3.38,4.17,2023
Frosinone,Inter,2,4.23,3.88,1.77,2023
Udinese,Napoli,X,3.79,3.68,1.91,2023
Salernitana,Atalanta,2,10.1,5.93,1.27,2023
Roma,Juventus,X,2.91,3.14,2.57,2023
Milan,Genoa,X,1.42,4.78,7.01,2023
Empoli,Frosinone,X,2.47,3.17,2.97,2023
Verona,Fiorentina,1,3.39,3.19,2.24,2023
Cagliari,Lecce,X,2.13,3.14,3.72,2023
Sassuolo,Inter,1,5.94,4.55,1.49,2023
Monza,Lazio,X,4.48,3.6,1.8,2023
Torino,Bologna,X,2.78,2.89,2.85,2023
Genoa,Cagliari,1,2.17,3.15,3.62,2023
Fiorentina,Sassuolo,1,1.56,4.11,5.66,2023
Atalanta,Empoli,1,1.46,4.46,6.82,2023
Napoli,Roma,X,1.95,3.54,3.84,2023
Bologna,Udinese,X,1.62,3.7,5.94,2023
Inter,Torino,1,1.55,3.95,6.19,2023
Lazio,Verona,1,1.6,3.92,5.66,2023
Juventus,Milan,X,2.15,3.21,3.63,2023
Lecce,Monza,X,1.99,3.25,4.02,2023
Frosinone,Salernitana,1,1.36,4.98,8.12,2023
Udinese,Roma,2,6.06,1.79,3.0,2023
Milan,Inter,2,3.75,3.39,2.03,2023
Roma,Bologna,2,2.34,2.92,3.5,2023
Monza,Atalanta,2,3.93,3.68,1.89,2023
Salernitana,Fiorentina,2,5.5,4.06,1.59,2023
Torino,Frosinone,X,1.68,3.7,5.17,2023
Sassuolo,Lecce,2,2.28,3.25,3.24,2023
Verona,Udinese,1,2.75,2.9,2.88,2023
Empoli,Napoli,1,5.0,3.96,1.66,2023
Cagliari,Juventus,X,4.67,3.38,1.83,2023
Genoa,Lazio,2,3.12,3.06,2.44,2023
Atalanta,Verona,X,1.45,4.6,6.95,2023
Fiorentina,Genoa,X,1.82,3.42,4.67,2023
Inter,Cagliari,X,1.17,7.35,15.5,2023
Sassuolo,Milan,X,4.38,3.86,1.75,2023
Napoli,Frosinone,X,1.32,5.55,8.53,2023
Bologna,Monza,X,1.51,3.99,6.78,2023
Torino,Juventus,X,3.72,2.86,2.29,2023
Lecce,Empoli,1,2.15,2.94,3.97,2023
Lazio,Salernitana,1,1.32,5.15,9.52,2023
Udinese,Inter,2,7.83,4.68,1.4,2023
Juventus,Fiorentina,1,1.73,3.52,5.18,2023
Cagliari,Atalanta,1,4.74,3.74,1.74,2023
Verona,Genoa,2,2.66,2.88,3.0,2023
Monza,Napoli,2,4.45,3.74,1.78,2023
Frosinone,Bologna,X,4.2,3.47,1.89,2023
Empoli,Torino,1,3.63,3.12,2.18,2023
Roma,Lazio,1,2.1,3.15,3.82,2023
Milan,Lecce,1,1.33,5.2,9.05,2023
Salernitana,Sassuolo,X,3.2,3.46,2.2,2023
Inter,Empoli,1,1.17,7.54,14.9,2023
Lecce,Roma,X,3.84,3.05,2.14,2023
Cagliari,Verona,X,2.15,3.08,3.78,2023
Sassuolo,Udinese,X,2.83,3.2,2.57,2023
Bologna,Salernitana,1,1.28,5.53,11.24,2023
Fiorentina,Milan,2,3.03,3.31,2.38,2023
Lazio,Juventus,1,3.27,3.06,2.37,2023
Genoa,Frosinone,X,1.9,3.49,4.09,2023
Torino,Monza,1,1.87,3.28,4.63,2023
Napoli,Atalanta,2,2.14,3.47,3.34,2023
Inter,Napoli,X,1.54,4.22,5.87,2023
Roma,Sassuolo,1,1.4,4.7,7.94,2023
Verona,Milan,2,5.84,3.86,1.6,2023
Juventus,Genoa,X,1.48,4.06,7.51,2023
Frosinone,Lazio,2,3.27,3.37,2.21,2023
Salernitana,Lecce,2,3.45,3.2,2.21,2023
Monza,Cagliari,1,1.98,3.44,3.83,2023
Udinese,Torino,2,2.94,2.9,2.7,2023
Empoli,Bologna,2,4.02,3.18,2.03,2023
Lazio,Udinese,2,1.86,3.4,4.5,2023
Fiorentina,Roma,X,2.55,3.22,2.85,2023
Juventus,Atalanta,X,2.24,3.17,3.41,2023
Milan,Empoli,1,1.41,4.62,7.76,2023
Lecce,Verona,2,2.17,3.1,3.69,2023
Genoa,Monza,2,2.12,3.14,3.74,2023
Bologna,Inter,2,3.76,3.24,2.09,2023
Cagliari,Salernitana,1,1.83,3.54,4.44,2023
Sassuolo,Frosinone,1,2.37,3.42,2.92,2023
Napoli,Torino,X,1.7,3.6,5.32,2023
Inter,Genoa,1,1.25,5.85,12.5,2023
Napoli,Juventus,1,2.28,3.13,3.39,2023
Atalanta,Bologna,2,2.01,3.42,3.8,2023
Empoli,Cagliari,2,2.24,3.26,3.35,2023
Frosinone,Lecce,X,2.31,3.24,3.19,2023
Verona,Sassuolo,1,2.36,3.32,3.02,2023
Torino,Fiorentina,X,2.55,2.97,3.08,2023
Monza,Roma,2,3.75,3.34,2.05,2023
Udinese,Salernitana,X,1.66,3.71,5.54,2023
Lazio,Milan,2,3.24,3.18,2.32,2023
Inter,Atalanta,1,1.61,3.95,5.56,2023
Sassuolo,Napoli,2,4.24,3.86,1.79,2023
Fiorentina,Lazio,1,2.13,3.22,3.64,2023
Roma,Torino,1,1.97,3.2,4.31,2023
Milan,Atalanta,X,2.35,3.42,2.97,2023
Lecce,Inter,2,6.87,4.32,1.47,2023
Cagliari,Napoli,X,4.39,3.72,1.79,2023
Juventus,Frosinone,1,1.31,5.43,9.34,2023
Genoa,Udinese,1,2.46,2.91,3.25,2023
Salernitana,Monza,2,3.26,3.19,2.3,2023
Sassuolo,Empoli,2,2.23,3.31,3.27,2023
Bologna,Verona,1,1.59,3.71,6.36,2023
Torino,Lazio,2,2.72,2.88,2.91,2023
Monza,Milan,1,4.87,3.56,1.74,2023
Frosinone,Roma,2,3.61,3.56,1.99,2023
Empoli,Fiorentina,X,3.61,3.3,2.09,2023
Udinese,Cagliari,X,1.85,3.45,4.36,2023
Lazio,Bologna,2,2.48,2.97,3.13,2023
Atalanta,Sassuolo,1,1.31,5.52,8.91,2023
Verona,Juventus,X,5.76,3.48,1.67,2023
Napoli,Genoa,X,1.71,3.59,5.21,2023
Inter,Salernitana,1,1.12,9.14,20.56,2023
Torino,Lecce,1,1.84,3.31,4.77,2023
Bologna,Fiorentina,1,2.47,3.08,3.07,2023
Juventus,Udinese,2,1.44,4.22,8.04,2023
Milan,Napoli,1,1.94,3.48,3.93,2023
Genoa,Atalanta,2,3.97,3.26,2.0,2023
Bologna,Lecce,1,1.65,3.61,5.73,2023
