Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Venezia,Sampdoria,2,2.66,3.22,2.71
Cagliari,Milan,2,5.32,3.84,1.65
Inter,Fiorentina,X,1.48,4.46,6.31
Napoli,Udinese,1,1.51,4.16,6.56
Genoa,Torino,1,3.12,3.09,2.43
Sassuolo,Spezia,1,1.76,3.88,4.41
Lazio,Venezia,1,1.31,5.46,9.62
Torino,Inter,X,5.00,3.64,1.73
Atalanta,Genoa,X,1.34,5.24,8.63
Udinese,Roma,X,3.15,3.30,2.31
Verona,Napoli,2,3.48,3.33,2.15
Fiorentina,Bologna,1,1.60,4.09,5.49
Milan,Empoli,1,1.35,5.21,8.40
Sampdoria,Juventus,2,5.31,3.67,1.69
Salernitana,Sassuolo,X,3.71,3.90,1.89
Spezia,Cagliari,1,2.78,3.03,2.72
Napoli,Milan,2,2.14,3.24,3.59
Juventus,Spezia,1,1.28,5.67,10.81
Bologna,Torino,X,2.84,3.07,2.66
Fiorentina,Verona,X,2.00,3.51,3.71
Venezia,Sassuolo,2,3.33,3.65,2.09
Genoa,Empoli,X,2.59,3.23,2.79
Cagliari,Lazio,2,3.84,3.39,2.01
Roma,Atalanta,1,2.59,3.24,2.79
Udinese,Sampdoria,1,1.77,3.63,4.74
Inter,Salernitana,1,1.13,8.59,20.43
Atalanta,Sampdoria,1,1.39,4.79,8.01
Lazio,Napoli,2,2.85,3.24,2.55
Spezia,Roma,2,4.89,3.71,1.73
Verona,Venezia,1,1.62,3.86,5.48
Torino,Cagliari,2,1.71,3.57,5.37
Sassuolo,Fiorentina,1,2.61,3.53,2.58
Empoli,Juventus,2,4.89,3.79,1.71
Salernitana,Bologna,X,3.33,3.33,2.20
Genoa,Inter,X,9.11,5.17,1.34
Milan,Udinese,X,1.49,4.17,7.18
Bologna,Spezia,1,1.88,3.48,4.27
Cagliari,Napoli,X,5.44,3.66,1.68
Udinese,Lazio,X,2.74,3.07,2.76
Inter,Sassuolo,2,1.27,6.13,9.49
Venezia,Genoa,X,2.51,3.11,3.01
Fiorentina,Atalanta,1,2.61,3.38,2.66
Salernitana,Milan,X,9.99,5.19,1.32
Roma,Verona,X,2.12,3.38,3.49
Sampdoria,Empoli,1,2.36,3.38,2.99
Juventus,Torino,X,1.66,3.60,5.85
Spezia,Fiorentina,2,3.91,3.57,1.93
Atalanta,Juventus,X,2.99,3.25,2.43
Sassuolo,Roma,X,3.35,3.67,2.07
Empoli,Cagliari,X,2.01,3.54,3.62
Genoa,Salernitana,X,1.85,3.53,4.33
Verona,Udinese,1,1.88,3.47,4.24
Milan,Sampdoria,1,1.38,4.96,7.92
Torino,Venezia,2,1.54,3.99,6.51
Napoli,Inter,X,2.67,3.30,2.63
Lazio,Bologna,1,1.66,3.95,5.03
Salernitana,Spezia,X,2.70,3.17,2.72
Juventus,Verona,1,1.58,3.92,6.13
Udinese,Torino,1,3.16,3.10,2.41
Bologna,Empoli,X,2.04,3.43,3.66
Sampdoria,Sassuolo,1,2.71,3.63,2.43
Venezia,Napoli,2,7.55,4.40,1.45
Atalanta,Cagliari,2,1.22,6.56,12.53
Fiorentina,Lazio,2,2.36,3.35,3.02
Inter,Milan,2,1.88,3.59,4.12
Roma,Genoa,X,1.36,5.00,8.47
Milan,Juventus,X,2.69,3.12,2.77
Empoli,Roma,2,3.82,3.95,1.86
Napoli,Salernitana,1,1.12,8.58,21.97
Spezia,Sampdoria,1,2.60,3.12,2.84
Torino,Sassuolo,X,1.94,3.57,3.84
Cagliari,Fiorentina,X,6.37,4.26,1.51
Lazio,Atalanta,X,2.29,3.52,2.99
Inter,Venezia,1,1.10,9.69,22.89
Genoa,Udinese,X,3.50,3.21,2.18
Verona,Bologna,1,1.81,3.64,4.35
Fiorentina,Genoa,1,1.40,4.68,7.96
Milan,Spezia,2,1.28,5.79,10.00
Bologna,Napoli,2,4.33,3.55,1.84
Atalanta,Inter,X,3.09,3.50,2.25
Roma,Cagliari,1,1.34,5.19,8.53
Venezia,Empoli,X,2.80,3.49,2.43
Sassuolo,Verona,2,2.41,3.38,2.92
Juventus,Udinese,1,1.41,4.50,8.07
Salernitana,Lazio,2,9.69,5.42,1.30
Sampdoria,Torino,2,3.54,3.33,2.12
Cagliari,Bologna,1,2.91,3.28,2.44
Torino,Fiorentina,1,2.95,3.29,2.42
Inter,Lazio,1,1.35,5.11,8.38
Verona,Salernitana,2,1.33,5.27,9.00
Roma,Juventus,2,3.00,3.17,2.46
Genoa,Spezia,2,2.26,3.11,3.45
Napoli,Sampdoria,1,1.38,4.79,8.32
Udinese,Atalanta,2,4.77,3.74,1.72
Empoli,Sassuolo,2,2.66,3.76,2.41
Venezia,Milan,2,5.63,4.10,1.58
Juventus,Napoli,X,1.74,3.53,5.02
Milan,Roma,1,2.23,3.52,3.10
Sassuolo,Genoa,X,1.74,3.72,4.64
Lazio,Empoli,X,1.59,4.27,5.14
Spezia,Verona,2,3.27,3.35,2.21
Sampdoria,Cagliari,2,1.75,3.70,4.65
Empoli,Milan,2,3.99,3.81,1.84
Napoli,Spezia,2,1.25,6.02,11.58
Roma,Sampdoria,X,1.50,4.43,6.13
Inter,Torino,1,1.28,5.59,11.00
Verona,Fiorentina,X,2.91,3.39,2.40
Sassuolo,Bologna,2,2.10,3.59,3.33
Venezia,Lazio,2,4.14,3.36,1.93
Genoa,Atalanta,X,6.36,4.58,1.47
Juventus,Cagliari,1,1.21,6.30,15.53
Milan,Napoli,2,2.09,3.43,3.52
Sampdoria,Venezia,X,1.76,3.67,4.69
Torino,Verona,1,2.21,3.28,3.38
Spezia,Empoli,X,2.64,3.49,2.56
Fiorentina,Sassuolo,X,1.89,3.62,4.01
Cagliari,Udinese,2,3.07,3.22,2.39
Bologna,Juventus,2,4.13,3.45,1.91
Atalanta,Roma,2,1.72,4.03,4.45
Salernitana,Inter,2,17.94,8.09,1.14
Lazio,Genoa,1,1.58,3.89,6.07
Roma,Spezia,1,1.37,4.99,7.96
Inter,Cagliari,1,1.15,7.77,17.39
Napoli,Empoli,2,1.37,5.07,7.84
Sassuolo,Lazio,1,2.42,3.47,2.88
Verona,Atalanta,2,3.60,3.68,1.99
Torino,Bologna,1,2.14,3.29,3.54
Udinese,Milan,X,4.33,3.53,1.85
Venezia,Juventus,X,8.24,4.55,1.40
Fiorentina,Salernitana,1,1.27,5.74,10.72
Genoa,Sampdoria,2,3.40,3.11,2.30
Cagliari,Torino,X,3.19,3.16,2.38
Empoli,Udinese,1,2.37,3.38,2.99
Juventus,Genoa,1,1.21,6.34,15.50
Sampdoria,Lazio,2,3.27,3.51,2.17
Spezia,Sassuolo,X,3.03,3.48,2.30
Venezia,Verona,2,3.79,3.40,2.02
Bologna,Fiorentina,2,2.91,3.19,2.55
Napoli,Atalanta,2,2.71,3.37,2.60
Roma,Inter,2,3.80,3.62,1.96
Milan,Salernitana,1,1.22,6.43,13.20
Lazio,Udinese,X,1.62,3.84,5.69
Torino,Empoli,X,1.77,3.62,4.69
Genoa,Milan,2,5.97,4.13,1.56
Sassuolo,Napoli,X,4.11,3.78,1.84
Bologna,Roma,1,2.89,3.36,2.46
Inter,Spezia,1,1.15,8.22,16.22
Salernitana,Juventus,2,9.17,4.94,1.35
Verona,Cagliari,X,1.55,4.18,6.06
Atalanta,Venezia,1,1.24,6.01,12.77
Fiorentina,Sampdoria,1,1.72,3.69,5.01
Napoli,Lazio,1,1.82,3.72,4.31
Roma,Torino,1,1.77,3.79,4.56
Milan,Sassuolo,2,1.47,4.74,6.40
Spezia,Bologna,2,3.21,3.33,2.28
Udinese,Genoa,X,1.67,3.71,5.46
Venezia,Inter,2,8.62,4.99,1.36
Juventus,Atalanta,2,2.05,3.50,3.60
Empoli,Fiorentina,1,3.76,3.59,1.97
Sampdoria,Verona,1,2.86,3.35,2.47
Cagliari,Salernitana,X,1.81,3.48,4.71
Torino,Udinese,1,2.09,3.21,3.84
Verona,Empoli,1,1.73,3.81,4.75
Genoa,Roma,2,4.48,3.98,1.73
Inter,Napoli,1,2.22,3.39,3.31
Bologna,Venezia,2,1.66,3.81,5.38
Salernitana,Sampdoria,2,2.90,3.21,2.52
Sassuolo,Cagliari,X,1.59,4.26,5.36
Fiorentina,Milan,1,2.94,3.28,2.46
Lazio,Juventus,2,2.96,3.19,2.50
Atalanta,Spezia,1,1.25,6.32,10.61
Milan,Inter,X,3.46,3.47,2.12
Lazio,Salernitana,1,1.30,5.64,9.78
Napoli,Verona,X,1.43,4.74,7.28
Sampdoria,Bologna,2,2.69,3.28,2.66
Udinese,Sassuolo,1,2.23,3.42,3.25
Venezia,Roma,1,5.35,3.88,1.64
Cagliari,Atalanta,2,5.94,4.51,1.51
Juventus,Fiorentina,1,1.65,3.77,5.62
Spezia,Torino,1,3.43,3.42,2.14
Empoli,Genoa,X,2.14,3.51,3.33
Bologna,Cagliari,1,1.68,3.87,5.16
Roma,Milan,2,2.33,3.46,3.02
Salernitana,Napoli,2,10.17,5.47,1.30
Fiorentina,Spezia,1,1.63,4.14,5.17
Genoa,Venezia,X,1.99,3.46,3.85
Sassuolo,Empoli,2,1.69,4.21,4.51
Inter,Udinese,1,1.35,5.06,9.19
Torino,Sampdoria,1,1.82,3.62,4.41
Verona,Juventus,1,4.41,3.61,1.82
Atalanta,Lazio,X,1.96,3.87,3.56
Napoli,Bologna,1,1.24,6.29,11.78
Cagliari,Roma,2,6.41,4.54,1.49
Empoli,Inter,2,6.81,5.01,1.42
Lazio,Fiorentina,1,1.83,3.69,4.28
Juventus,Sassuolo,2,1.41,4.91,7.24
Sampdoria,Atalanta,2,4.19,3.89,1.80
Udinese,Verona,X,2.38,3.18,3.16
Milan,Torino,1,1.63,3.86,5.59
Spezia,Genoa,X,2.25,3.47,3.14
Venezia,Salernitana,2,1.98,3.42,3.99
Inter,Juventus,X,2.07,3.53,3.54
Roma,Napoli,X,2.93,3.39,2.42
Fiorentina,Cagliari,1,1.58,4.00,5.90
Verona,Lazio,1,2.97,3.39,2.38
Atalanta,Udinese,X,1.39,5.04,7.64
Bologna,Milan,2,3.41,3.41,2.16
Sassuolo,Venezia,1,1.60,4.05,5.51
Salernitana,Empoli,2,3.04,3.41,2.34
Sampdoria,Spezia,1,1.75,3.90,4.48
Torino,Genoa,1,1.73,3.70,4.98
Venezia,Fiorentina,1,4.07,3.49,1.93
Juventus,Roma,1,1.90,3.59,4.05
Napoli,Torino,1,1.36,5.05,8.46
Empoli,Atalanta,2,5.09,4.21,1.62
Genoa,Sassuolo,X,3.07,3.42,2.31
Udinese,Bologna,X,2.22,3.34,3.34
Cagliari,Sampdoria,1,2.46,3.31,2.91
Milan,Verona,1,1.57,4.19,5.81
Lazio,Inter,1,3.21,3.33,2.28
Spezia,Salernitana,1,2.10,3.33,3.66
Atalanta,Milan,2,2.14,3.49,3.36
Roma,Empoli,1,1.37,5.35,7.28
Fiorentina,Napoli,2,3.84,3.54,1.96
Sampdoria,Udinese,X,2.19,3.24,3.48
Verona,Spezia,1,1.57,4.26,5.57
Bologna,Lazio,1,3.10,3.42,2.29
Sassuolo,Inter,2,4.81,4.34,1.64
Torino,Juventus,2,4.39,3.33,1.91
Salernitana,Genoa,1,2.74,3.13,2.73
Cagliari,Venezia,X,1.78,3.60,4.67
Venezia,Torino,X,3.51,3.27,2.17
Napoli,Cagliari,1,1.24,6.41,11.87
Lazio,Roma,1,2.44,3.35,2.95
Empoli,Bologna,1,2.68,3.48,2.56
Sassuolo,Salernitana,1,1.38,4.99,7.96
Udinese,Fiorentina,2,2.99,3.19,2.48
Juventus,Sampdoria,1,1.35,5.23,8.28
Genoa,Verona,X,2.67,3.19,2.74
Inter,Atalanta,X,1.90,3.73,3.87
Spezia,Milan,2,5.82,4.16,1.57
Roma,Udinese,1,1.46,4.49,6.90
Sampdoria,Napoli,2,4.50,3.81,1.76
Torino,Lazio,X,3.10,3.33,2.34
Milan,Venezia,1,1.25,5.97,12.03
Cagliari,Empoli,2,2.01,3.69,3.55
Salernitana,Verona,X,3.83,3.22,2.09
Spezia,Juventus,2,8.13,5.14,1.36
Atalanta,Sassuolo,1,1.50,4.49,6.16
Fiorentina,Inter,2,4.10,3.76,1.84
Bologna,Genoa,X,1.84,3.53,4.42
Udinese,Napoli,2,4.14,3.51,2.07
Juventus,Milan,X,1.93,3.67,3.88
Lazio,Cagliari,X,1.45,4.60,7.09
Verona,Roma,1,3.35,3.51,2.14
Venezia,Spezia,2,2.34,3.26,3.16
Empoli,Sampdoria,2,2.62,3.42,2.65
Salernitana,Atalanta,2,10.96,5.78,1.27
Inter,Bologna,1,1.38,5.03,7.82
Genoa,Fiorentina,2,3.39,3.31,2.20
Sassuolo,Torino,2,1.77,3.91,4.37
Bologna,Verona,1,2.17,3.47,3.30
Roma,Sassuolo,1,1.60,4.41,5.04
Milan,Lazio,1,2.27,3.41,3.17
Cagliari,Genoa,2,2.05,3.41,3.71
Spezia,Udinese,2,3.34,3.41,2.18
Torino,Salernitana,1,1.68,3.79,5.12
Sampdoria,Inter,X,5.26,4.03,1.63
Atalanta,Fiorentina,2,1.60,4.09,5.47
Napoli,Juventus,1,2.15,3.46,3.40
Empoli,Venezia,2,1.68,3.98,4.83
Milan,Cagliari,1,1.47,4.40,6.74
Salernitana,Roma,2,7.11,4.40,1.46
Genoa,Napoli,2,5.66,4.00,1.60
Sassuolo,Sampdoria,X,2.11,3.54,3.41
Fiorentina,Torino,1,1.90,3.66,3.91
Juventus,Empoli,2,1.25,6.14,11.83
Atalanta,Bologna,X,1.30,5.78,9.25
Lazio,Spezia,1,1.31,5.43,9.41
Verona,Inter,2,5.48,4.22,1.58
Udinese,Venezia,1,1.75,3.59,4.95
Sampdoria,Milan,2,3.60,3.43,2.08
Cagliari,Spezia,X,1.81,3.57,4.56
Roma,Fiorentina,1,1.62,4.16,5.13
Napoli,Venezia,1,1.22,6.45,12.97
Bologna,Salernitana,1,1.53,4.32,6.06
Udinese,Juventus,X,6.90,4.08,1.51
Empoli,Lazio,2,3.94,3.74,1.89
Torino,Atalanta,2,6.08,4.40,1.51
Inter,Genoa,1,1.29,5.47,10.80
Verona,Sassuolo,2,2.57,3.39,2.72
